ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,price_log
17809,Shivajinagar,Pune,Niranjan Veg Restaurant,500.0,4.3,100.0,"North Indian,Chinese,South Indian,Fast Food",Fc Road,34,6.214608098422191
18341,Purasaiwakkam,Chennai,Doveton Cafe,250.0,4.2,1000.0,"North Indian,Chinese,South Indian,Indian,Tandoor",Purasavakkam High Road,35,5.521460917862246
18362,Bhowanipore,Kolkata,Juicy Fresh,150.0,4.6,100.0,Beverages,Near Forum Mall,49,5.0106352940962555
18406,Gudimalkapur,Hyderabad,Sri Balaji Family Dhaba,300.0,3.9,100.0,North Indian,Gudi Malkapur,50,5.703782474656201
18483,Shalimar Bagh,Delhi,Mitthu Tikki Wala,300.0,4.1,100.0,"Street Food,Chinese",Bw Block Shalimar Bagh,60,5.703782474656201
18493,Sector 9 Rohini,Delhi,Apni Rasoi (Sector 9 Dc Chowk Rohini),250.0,4.0,1000.0,North Indian,Dc Chowk,34,5.521460917862246
18669,Matunga,Mumbai,Cafe 2.0,300.0,4.1,20.0,Fast Food  Pastas  Pizzas,King Circle,58,5.703782474656201
18688,Masab Tank,Hyderabad,Fancy Ice Cream,150.0,3.9,20.0,Desserts,Vijay Nagar Colony,38,5.0106352940962555
18848,Bhowanipore,Kolkata,Laxman Paan,250.0,4.6,100.0,Desserts,Near Flavours,58,5.521460917862246
18893,Dilsukhnagar,Hyderabad,Sahadeva Reddy Pure Ghee Sweets,400.0,4.3,100.0,Sweets,Dilsukhnagar Main Road,39,5.991464547107982
18977,Ashok Nagar,Bangalore,Pabrai'S Fresh & Naturelle Ice Creams,180.0,4.4,20.0,"Ice Cream,Desserts",Ashok Nagar,36,5.19295685089021
19004,Nungambakkam,Chennai,Cream Centre,1500.0,4.4,100.0,"North Indian,Italian,Mexican",Nungambakkam,51,7.313220387090301
19199,Bhowanipore,Kolkata,Casa Kitchen,1000.0,4.3,100.0,"North Indian,Chinese,Continental",Near Minto Park Tewari,60,6.907755278982137
19451,Chembur,Mumbai,Havmor Havfunn Ice Cream,300.0,4.4,100.0,Ice Cream  Ice Cream Cakes  Desserts,Wadawali  Near Cubic Mall,49,5.703782474656201
19476,Anand Nagar,Pune,The Juicy Hub,250.0,2.9,80.0,"Beverages,Fast Food",Riddhi Siddhi Society,70,5.521460917862246
19496,Anna Nagar,Chennai,Italiano,250.0,4.2,1000.0,"Pizzas,Continental,Beverages,Italian",Anna Nagar East,63,5.521460917862246
19516,Kestopur Rabindrapally,Kolkata,Hungerpangs,200.0,4.1,100.0,"American,Beverages,Continental,Desserts,Italian,Street Food,Snacks,Tibetan",Near Girish Park More,78,5.298317366548036
19583,Sadashiv Peth,Pune,Aadd (M) Aadd(B),300.0,2.9,80.0,"Cafe,Beverages,Desserts",Swargate,44,5.703782474656201
19890,Anand Nagar,Pune,The Green Roof,700.0,4.1,100.0,"North Indian,Chinese,South Indian,Mexican,Italian",Manikbaug,68,6.551080335043404
20068,Musheerabad,Hyderabad,Hotel Sandarshini,200.0,4.0,100.0,North Indian  Chinese  South Indian,Musheerabad Main Road,36,5.298317366548036
20248,Ballygunge,Kolkata,Chatar Patar,200.0,4.3,100.0,"Street Food,Indian,Beverages,Chaat,Combo,Pastas,Snacks",Opposite Tivoli Court,65,5.298317366548036
20338,Sadashiv Peth,Pune,Cad (M) Cad (B),200.0,4.0,100.0,"Beverages,Desserts,Fast Food",Near Sp College,34,5.298317366548036
